ID,Primary topic,Proposed title,Primary query,Search intent,Cluster,Subcluster,Content type,Audience,Source basis,Research flags,Legal/tech sensitivity,Closest related article,Differentiation reason,Internal link targets,Status
MM-0886,Motorbike vs train Vietnam,Motorbike vs Train in Vietnam: Choosing How to Cover Long Distances,motorbike vs train vietnam long distance,informational,14-vietnam-travel,14.1 transport-comparisons,comparison,tourists/expats,skeleton+research,R2,travel-facts,motorbike-ferry-train-transport-vietnam,Long-distance mode comparison; the ferry and train guide covers bike-transport mechanics only,"motorbike-ferry-train-transport-vietnam, hanoi-to-ho-chi-minh-city-by-motorbike, ho-chi-minh-highway-motorbike-guide, best-motorbike-for-long-distance-vietnam, motorbike-trip-seasons-north-vietnam",published
MM-0897,Cambodia border crossing,Riding a Vietnamese Motorbike Into Cambodia: Border Reality Check,motorbike border crossing vietnam cambodia,informational,14-vietnam-travel,14.3 borders-and-ownership,guide,tourists/expats,skeleton+research,R2+R1,legal-facts,motorbike-border-crossing-vietnam-laos,Cambodia gates and paperwork with rental-bike rules; the Laos guide covers the northern border,"motorbike-border-crossing-vietnam-laos, motorbike-bluecard-ownership-papers-vietnam, renting-motorbike-ho-chi-minh-city, can-tourists-ride-motorbike-vietnam, motorbike-travel-insurance-vietnam",published
MM-0898,Buying a motorbike as tourist,Buying a Motorbike in Vietnam as a Tourist: The Honest Guide,buying motorbike vietnam tourist,informational,14-vietnam-travel,14.3 borders-and-ownership,guide,tourists/expats,skeleton+research,R2,legal-facts,renting-vs-buying-motorbike-vietnam-long-trip,The buying process papers and checks; the rent-vs-buy guide covers the cost decision,"motorbike-bluecard-ownership-papers-vietnam, selling-motorbike-before-leaving-vietnam, renting-vs-buying-motorbike-vietnam-long-trip, servicing-before-long-trip-motorbike, motorbike-travel-insurance-vietnam",published
MM-0899,Selling before leaving,Selling a Motorbike Before You Leave Vietnam: Getting Out Without Losing Too Much,selling motorbike before leaving vietnam,informational,14-vietnam-travel,14.3 borders-and-ownership,guide,tourists/expats,skeleton+research,R2,travel-facts,buying-motorbike-as-tourist-vietnam,Exit strategy channels and timing; the buying guide covers the entry side,"buying-motorbike-as-tourist-vietnam, motorbike-bluecard-ownership-papers-vietnam, renting-vs-buying-motorbike-vietnam-long-trip, one-way-motorbike-rental-vietnam, motorbike-trip-budget-from-hanoi",published
MM-0900,Bluecard ownership papers,The Vietnamese Motorbike Bluecard: What the Ownership Paper Actually Is,vietnam motorbike bluecard ownership paper,informational,14-vietnam-travel,14.3 borders-and-ownership,guide,tourists/expats,skeleton+research,R2+R1,legal-facts,buying-motorbike-as-tourist-vietnam,Document explainer covering why registration decides value; the buying guide covers the transaction,"buying-motorbike-as-tourist-vietnam, selling-motorbike-before-leaving-vietnam, motorbike-border-crossing-vietnam-laos, lending-motorbike-unlicensed-rider-vietnam, theft-loss-responsibility-rental-motorbike-hanoi",published
MM-0901,Hanoi to HCMC by motorbike,Hanoi to Ho Chi Minh City by Motorbike: The Full North-to-South Ride,hanoi to ho chi minh city by motorbike,informational,14-vietnam-travel,14.4 nationwide-travel-planning,route-guide,tourists/expats,skeleton+research,R2,travel-facts,ho-chi-minh-highway-motorbike-guide,Full-country route planning with stages and timing; the road guides cover individual roads,"ho-chi-minh-highway-motorbike-guide, highway-1-vietnam-motorbike-riding, hai-van-pass-motorbike-guide, mekong-delta-motorbike-guide, best-motorbike-for-long-distance-vietnam",published
MM-0902,Ho Chi Minh Road,The Ho Chi Minh Road by Motorbike: Vietnam Mountain Spine Ride,ho chi minh road motorbike guide,informational,14-vietnam-travel,14.4 nationwide-travel-planning,route-guide,tourists/expats,skeleton+research,R2,travel-facts,highway-1-vietnam-motorbike-riding,Mountain spine road guide with sections and logistics; the QL1A guide covers the coastal artery,"hanoi-to-ho-chi-minh-city-by-motorbike, mountain-pass-riding-motorbike-vietnam, highway-1-vietnam-motorbike-riding, fuel-atm-phone-coverage-rural-rides-vietnam, motorbike-trip-seasons-north-vietnam",published
MM-0903,Highway 1 QL1A riding,Riding the QL1A: Vietnam Highway 1 by Motorbike,riding highway 1 vietnam ql1a motorbike,informational,14-vietnam-travel,14.4 nationwide-travel-planning,route-guide,tourists/expats,skeleton+research,R2,travel-facts,ho-chi-minh-highway-motorbike-guide,Honest guide to the main coastal artery and when to use it; the HCM Road guide covers the mountains,"ho-chi-minh-highway-motorbike-guide, hanoi-to-ho-chi-minh-city-by-motorbike, hai-van-pass-motorbike-guide, motorbikes-on-expressway-vietnam, horn-etiquette-motorbike-vietnam",published
MM-0904,Hai Van Pass,The Hai Van Pass by Motorbike: Riding the Sea of Clouds,hai van pass motorbike guide,informational,14-vietnam-travel,14.4 nationwide-travel-planning,route-guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-da-nang,The pass route with tunnel rules and weather; the Da Nang guide covers city rental,"renting-motorbike-da-nang, renting-motorbike-hue, mountain-pass-riding-motorbike-vietnam, fog-and-low-visibility-riding-motorbike-vietnam, hanoi-to-ho-chi-minh-city-by-motorbike",published
MM-0905,Mekong Delta riding,"Riding the Mekong Delta by Motorbike: Flat, Green and Full of Ferries",mekong delta motorbike guide,informational,14-vietnam-travel,14.4 nationwide-travel-planning,route-guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-ho-chi-minh-city,Delta region routes and ferry logistics; the Saigon guides cover the city side,"renting-motorbike-ho-chi-minh-city, ho-chi-minh-city-riding-first-timers, motorbike-ferry-train-transport-vietnam, vietnam-monsoon-season-motorbike-travel, motorbike-trip-budget-from-hanoi",published
MM-0906,Saigon riding first-timers,Riding in Ho Chi Minh City for the First Time: A Survival Guide,riding ho chi minh city first time,informational,14-vietnam-travel,14.4 nationwide-travel-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-ho-chi-minh-city,Traffic-system survival guide; the Saigon rental guide covers getting the bike,"renting-motorbike-ho-chi-minh-city, hanoi-motorbike-traffic-culture-first-timers, night-riding-motorbike-safety-vietnam, horn-etiquette-motorbike-vietnam, can-tourists-ride-motorbike-vietnam",published
MM-0907,Vietnamese road signs,Vietnamese Road Signs: A Rider Guide to Reading the Road,vietnam road signs meaning guide,informational,14-vietnam-travel,14.4 nationwide-travel-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,motorbike-trip-navigation-offline-maps-vietnam,Sign system including QL/DT numbering; the offline-maps guide covers digital navigation,"motorbike-trip-navigation-offline-maps-vietnam, motorbikes-on-expressway-vietnam, motorbike-parking-vietnamese-cities, horn-etiquette-motorbike-vietnam, highway-1-vietnam-motorbike-riding",published
MM-0908,Parking in Vietnamese cities,Motorbike Parking in Vietnam: How Every City Actually Works,motorbike parking vietnam cities,informational,14-vietnam-travel,14.4 nationwide-travel-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,hotel-parking-motorbike-hanoi,Nationwide parking system with lots and fines; the hotel guide covers overnight hotel parking,"hotel-parking-motorbike-hanoi, home-parking-overnight-security, helmet-locks-theft-vietnam, theft-loss-responsibility-rental-motorbike-hanoi, motorbike-parking-hanoi-overnight-security",published
MM-0909,Monsoon seasons nationwide,Vietnam Monsoon Seasons by Motorbike: When to Ride Which Region,vietnam monsoon season motorbike travel,informational,14-vietnam-travel,14.4 nationwide-travel-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,motorbike-trip-seasons-north-vietnam,Three-zone national weather planning; the north-Vietnam guide covers northern trip seasons only,"hanoi-riding-seasons-guide, motorbike-trip-seasons-north-vietnam, after-rain-slippery-roads-motorbike, fog-and-low-visibility-riding-motorbike-vietnam, best-motorbike-for-long-distance-vietnam",published
MM-0910,Tet motorbike travel,Tet by Motorbike: Riding Vietnam During Lunar New Year,riding motorbike vietnam during tet,informational,14-vietnam-travel,14.4 nationwide-travel-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-hanoi-tet-holidays,Nationwide Tet riding strategy; the Hanoi guide covers renting in Hanoi over Tet only,"renting-motorbike-hanoi-tet-holidays, motorbike-vs-sleeper-bus-vietnam, motorbike-vs-train-vietnam-long-distance, vietnam-monsoon-season-motorbike-travel, overnight-stays-motorbike-trips-vietnam",published
MM-0911,Self-drive vs Easy Rider,Self-Drive or Easy Rider? Choosing How to Tour Vietnam by Motorbike,easy rider vs self drive vietnam,informational,14-vietnam-travel,14.4 nationwide-travel-planning,comparison,tourists/expats,skeleton+research,R2,travel-facts,first-time-renting-a-motorbike-hanoi,Guided-versus-independent touring decision incl. the licence dimension; rental guide covers the transaction,"can-tourists-ride-motorbike-vietnam, first-time-renting-a-motorbike-hanoi, motorbike-trip-navigation-offline-maps-vietnam, motorbike-travel-insurance-vietnam, ho-chi-minh-city-riding-first-timers",published
MM-0912,Backpacker motorbike trail,"The Vietnam Motorbike Backpacker Trail: The Classic Route, Explained",vietnam motorbike backpacker route,informational,14-vietnam-travel,14.4 nationwide-travel-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,hanoi-to-ho-chi-minh-city-by-motorbike,Cultural and historical overview of the trail; the route guide covers practical planning,"hanoi-to-ho-chi-minh-city-by-motorbike, one-way-motorbike-rental-vietnam, buying-motorbike-as-tourist-vietnam, selling-motorbike-before-leaving-vietnam, vietnam-monsoon-season-motorbike-travel",published
MM-0913,Travel insurance and riding,Travel Insurance and Motorbike Riding in Vietnam: The Fine Print That Matters,travel insurance motorbike riding vietnam,informational,14-vietnam-travel,14.4 nationwide-travel-planning,guide,tourists/expats,skeleton+research,R2+R1,legal-facts,do-you-need-insurance-to-ride-vietnam,Travel-policy fine print incl. cc caps and exclusions; the legal guide covers the Vietnamese requirement,"do-you-need-insurance-to-ride-vietnam, compulsory-motorbike-insurance-vietnam, is-insurance-included-motorbike-rental-hanoi, can-tourists-ride-motorbike-vietnam, idp-vietnam-motorbike-rules",published
MM-0914,Renting vs buying long trip,Renting vs Buying a Motorbike in Vietnam: The Long-Trip Decision,renting vs buying motorbike vietnam,informational,14-vietnam-travel,14.4 nationwide-travel-planning,comparison,tourists/expats,skeleton+research,R2,travel-facts,buying-motorbike-as-tourist-vietnam,Cost and risk decision framework with break-even; the buying guide covers the buying process,"buying-motorbike-as-tourist-vietnam, selling-motorbike-before-leaving-vietnam, one-way-motorbike-rental-vietnam, how-to-rent-a-motorbike-hanoi, motorbike-trip-budget-from-hanoi",published
MM-0915,Traffic culture overview,How Vietnamese Traffic Actually Works: A Riding Culture Primer,how vietnamese traffic works riding,informational,14-vietnam-travel,14.4 nationwide-travel-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,hanoi-motorbike-traffic-culture-first-timers,National riding-culture primer on unwritten rules; the Hanoi guide covers Hanoi-specific riding,"hanoi-motorbike-traffic-culture-first-timers, ho-chi-minh-city-riding-first-timers, horn-etiquette-motorbike-vietnam, night-riding-motorbike-safety-vietnam, vietnam-road-signs-guide",published
