ID,Primary topic,Proposed title,Primary query,Search intent,Cluster,Subcluster,Content type,Audience,Source basis,Research flags,Legal/tech sensitivity,Closest related article,Differentiation reason,Internal link targets,Status
MM-0859,Soc Temple ride,Soc Temple (Den Soc) by Motorbike: The Thanh Giong Legend Ride,soc temple soc son motorbike ride from hanoi,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,co-loa-citadel-motorbike-ride,Legend-festival site guide north of the city; Co Loa covers a different ancient site in the same direction,"best-motorbike-for-day-trips-from-hanoi, co-loa-citadel-motorbike-ride, dai-lai-lake-motorbike-loop, hanoi-pagodas-temples-motorbike-guide, how-to-rent-a-motorbike-hanoi",published
MM-0860,Hung Kings temple trip,Hung Kings Temple by Motorbike: Riding to the Nation’s Founding Site in Phu Tho,hung kings temple phu tho motorbike trip from hanoi,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,hung-kings... n/a,Pilgrimage complex day-trip guide on the old Highway 2 corridor; no existing article covers Phu Tho,"best-motorbike-for-day-trips-from-hanoi, hanoi-pagodas-temples-motorbike-guide, riding-fatigue-motorbike-vietnam, motorbikes-on-expressway-vietnam, how-to-rent-a-motorbike-hanoi",published
MM-0861,Nui Coc and tea hills ride,Nui Coc Lake and Thai Nguyen Tea Hills by Motorbike,nui coc lake thai nguyen tea hills motorbike ride,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,dai-lai-lake-motorbike-loop,Tea-country plus reservoir day trip northeast of the city; Dai Lai guide covers a different northern lake,"best-motorbike-for-day-trips-from-hanoi, hot-weather-riding-motorbike-vietnam, hydration-long-motorbike-rides, dai-lai-lake-motorbike-loop, how-to-rent-a-motorbike-hanoi",published
MM-0862,Tam Dao vs Ba Vi comparison,Tam Dao vs Ba Vi: Which Mountain Day Trip From Hanoi Should You Ride?,tam dao vs ba vi day trip comparison,informational,13-trips,13.1 day-trips,comparison-guide,tourists/expats,skeleton+research,R2,travel-facts,tam-dao-day-trip-motorbike,Decision-guide comparing the two mountain day trips; each destination guide covers its own route in depth,"tam-dao-day-trip-motorbike, ba-vi-national-park-day-trip-motorbike, best-motorbike-for-day-trips-from-hanoi, mountain-pass-riding-motorbike-vietnam, how-to-rent-a-motorbike-hanoi",published
MM-0863,Trip preparation checklist,Motorbike Trip Preparation Checklist: Planning a Ride Out of Hanoi,motorbike trip preparation checklist hanoi,informational,13-trips,13.3 trip-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,servicing-before-long-trip-motorbike,"Trip-logistics checklist (documents, route, weather, rental terms); servicing guide covers mechanical prep only","servicing-before-long-trip-motorbike, documents-to-carry-motorbike-vietnam, first-aid-kit-motorbike-riders-vietnam, what-to-carry-riding-motorbike-vietnam, rental-motorbike-outside-hanoi, how-far-motorbike-day-trip-hanoi",published
MM-0864,Day-trip distance planning,How Far Can You Ride in a Day From Hanoi? A Realistic Distance Guide,how far can you ride in a day from hanoi motorbike,informational,13-trips,13.3 trip-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,best-motorbike-for-day-trips-from-hanoi,"Distance/time band planning for any destination; bike-choice guide covers machine selection, 50cc range guide covers small bikes","best-motorbike-for-day-trips-from-hanoi, 50cc-day-trip-range-limits, riding-fatigue-motorbike-vietnam, motorbike-trip-prep-checklist-hanoi, ninh-binh-day-trip-motorbike-hanoi",published
MM-0865,Trip seasons north Vietnam,Motorbike Trip Seasons in Northern Vietnam: When to Ride Where,best season motorbike trip north vietnam,informational,13-trips,13.3 trip-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,hanoi-riding-seasons-guide,Regional trip-season calendar including mountain weather and terrace timing; city guide covers Hanoi commuting seasons,"hanoi-riding-seasons-guide, riding-motorbike-heavy-rain-vietnam, winter-riding-motorbike-hanoi, fog-and-low-visibility-riding-motorbike, motorbike-trip-prep-checklist-hanoi",published
MM-0866,Trip navigation and offline maps,Navigation and Offline Maps for Motorbike Trips in Vietnam,navigation offline maps motorbike trip vietnam,informational,13-trips,13.3 trip-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,hanoi-navigation-motorbike-guide,National/rural navigation including the expressway-routing trap; city guide covers Hanoi navigation only,"hanoi-navigation-motorbike-guide, phone-mounts-motorbike-vietnam, motorbikes-on-expressway-vietnam, fuel-atm-phone-coverage-rural-rides-vietnam, motorbike-trip-prep-checklist-hanoi",published
MM-0867,"Rural fuel, ATM, coverage","Fuel, ATMs and Phone Coverage on Rural Rides in Northern Vietnam",fuel atm phone coverage rural motorbike rides vietnam,informational,13-trips,13.3 trip-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,hanoi-petrol-stations-guide-riders,"Rural-ride logistics (fuel patterns, cash, signal gaps); city guide covers Hanoi stations","hanoi-petrol-stations-guide-riders, rental-motorbike-fuel-what-petrol, fuel-gauge-inaccurate-motorbike, motorbike-trip-navigation-offline-maps-vietnam, what-to-carry-riding-motorbike-vietnam",published
MM-0868,Ferry and train transport,Taking a Motorbike on Ferries and Trains in Vietnam,motorbike ferry train transport vietnam,informational,13-trips,13.3 trip-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,motorbikes-on-expressway-vietnam,"Bike-as-freight logistics (vehicle ferries vs passenger speedboats, rail freight); law guide covers road rules","motorbike-trip-budget-from-hanoi, documents-to-carry-motorbike-vietnam, overnight-stays-motorbike-trips-vietnam, motorbike-trip-prep-checklist-hanoi, fuel-atm-phone-coverage-rural-rides-vietnam",published
MM-0869,Trip budgeting,Budgeting a Motorbike Trip From Hanoi: What You Actually Pay For,motorbike trip budget from hanoi,informational,13-trips,13.3 trip-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,daily-weekly-monthly-motorbike-rental-hanoi,Trip cost-category budgeting framework; rental price guide covers published rental rates,"motorbike-trip-prep-checklist-hanoi, overnight-stays-motorbike-trips-vietnam, daily-weekly-monthly-motorbike-rental-hanoi, motorbike-ferry-train-transport-vietnam, how-far-motorbike-day-trip-hanoi",published
MM-0870,Overnight stays on trips,Overnight Stays on Motorbike Trips: Picking and Asking for Bike-Safe Lodging,overnight accommodation motorbike trip vietnam parking,informational,13-trips,13.3 trip-planning,guide,tourists/expats,skeleton+research,R2,travel-facts,hotel-parking-motorbike-hanoi,Provincial bike-safe lodging choices; Hanoi hotel-parking guide covers city parking only,"hotel-parking-motorbike-hanoi, keeping-rental-motorbike-secure-hanoi, home-parking-overnight-security, motorbike-trip-budget-from-hanoi, motorbike-trip-prep-checklist-hanoi",published
